trade_num,entry_date,exit_date,entry_price,exit_price,return_pct,hold_days,exit_reason,is_win
1,2000-04-13,2000-04-27,1467.1700439453125,1464.9200439453125,-0.1533564571663204,10,MAX_HOLD,False
2,2000-09-18,2000-09-29,1465.81005859375,1436.510009765625,-1.998898060246257,10,MAX_HOLD,False
3,2004-03-12,2004-03-12,1106.780029296875,1120.5699462890625,1.2459492064514466,1,TAKE_PROFIT,True
4,2004-03-22,2004-03-29,1109.780029296875,1122.469970703125,1.14346456696377,6,TAKE_PROFIT,True
5,2005-01-14,2005-01-18,1177.449951171875,1195.97998046875,1.5737424149903534,2,TAKE_PROFIT,True
6,2005-03-23,2005-04-06,1171.7099609375,1184.0699462890625,1.054867310479568,10,TAKE_PROFIT,True
7,2006-05-18,2006-06-01,1270.3199462890625,1285.7099609375,1.2115069666815748,10,TAKE_PROFIT,True
8,2007-02-28,2007-03-13,1399.0400390625,1377.949951171875,-1.5074684999549781,10,MAX_HOLD,False
9,2007-03-14,2007-03-15,1377.949951171875,1392.280029296875,1.03995635783527,2,TAKE_PROFIT,True
10,2007-07-30,2007-07-30,1458.949951171875,1473.9100341796875,1.0254006997153065,1,TAKE_PROFIT,True
11,2007-10-22,2007-10-23,1500.6300048828125,1519.5899658203125,1.2634667356914875,2,TAKE_PROFIT,True
12,2010-01-29,2010-02-02,1084.530029296875,1103.3199462890625,1.7325400389668788,3,TAKE_PROFIT,True
13,2010-02-05,2010-02-11,1063.1099853515625,1078.469970703125,1.444816205586008,5,TAKE_PROFIT,True
14,2010-05-10,2010-05-10,1110.8800048828125,1159.72998046875,4.397412445198401,1,TAKE_PROFIT,True
15,2011-06-13,2011-06-14,1270.97998046875,1287.8699951171875,1.3288969856321664,2,TAKE_PROFIT,True
16,2011-06-16,2011-06-20,1265.4200439453125,1278.3599853515625,1.0225807207783655,3,TAKE_PROFIT,True
17,2012-04-11,2012-04-12,1358.5899658203125,1387.5699462890625,2.1330924854322753,2,TAKE_PROFIT,True
18,2012-05-18,2012-05-22,1304.8599853515625,1316.6300048828125,0.9020139833683993,3,TAKE_PROFIT,True
19,2012-11-08,2012-11-21,1394.530029296875,1391.030029296875,-0.2509806118527802,10,MAX_HOLD,False
20,2013-06-06,2013-06-07,1608.9000244140625,1643.3800048828125,2.143077875911348,2,TAKE_PROFIT,True
21,2013-08-28,2013-09-04,1630.47998046875,1653.0799560546875,1.386093411551137,5,TAKE_PROFIT,True
22,2013-10-09,2013-10-10,1655.449951171875,1692.56005859375,2.2416931055877054,2,TAKE_PROFIT,True
23,2014-01-30,2014-01-30,1774.199951171875,1794.18994140625,1.1267044743841437,1,TAKE_PROFIT,True
24,2014-02-04,2014-02-06,1741.8900146484375,1773.4300537109375,1.8106791357240581,3,TAKE_PROFIT,True
25,2014-08-06,2014-08-13,1920.2099609375,1946.719970703125,1.3805787025853222,6,TAKE_PROFIT,True
26,2014-10-08,2014-10-08,1935.0999755859375,1968.8900146484375,1.7461650296527242,1,TAKE_PROFIT,True
27,2014-12-15,2014-12-18,2002.3299560546875,2061.22998046875,2.941574351218157,4,TAKE_PROFIT,True
28,2015-01-16,2015-01-16,1992.6700439453125,2019.4200439453125,1.3424199395820402,1,TAKE_PROFIT,True
29,2015-03-11,2015-03-12,2044.1600341796875,2065.949951171875,1.0659594468068079,2,TAKE_PROFIT,True
30,2016-06-27,2016-06-29,2037.4100341796875,2070.77001953125,1.6373721927306573,3,TAKE_PROFIT,True
31,2016-09-12,2016-09-12,2127.81005859375,2159.0400390625,1.467705274849096,1,TAKE_PROFIT,True
32,2017-03-22,2017-03-30,2344.02001953125,2368.06005859375,1.0255901767983744,7,TAKE_PROFIT,True
33,2017-08-11,2017-08-14,2438.2099609375,2465.840087890625,1.1332136032493834,2,TAKE_PROFIT,True
34,2018-02-06,2018-02-06,2648.93994140625,2695.139892578125,1.7440920592313836,1,TAKE_PROFIT,True
35,2018-02-09,2018-02-09,2581.0,2619.550048828125,1.4936090208494734,1,TAKE_PROFIT,True
36,2018-03-26,2018-03-26,2588.260009765625,2658.550048828125,2.715725576151251,1,TAKE_PROFIT,True
37,2018-06-28,2018-07-02,2699.6298828125,2726.7099609375,1.0031033623315588,3,TAKE_PROFIT,True
38,2018-10-11,2018-10-24,2785.679931640625,2656.10009765625,-4.651641149170327,10,MAX_HOLD,False
39,2019-05-14,2019-05-15,2811.8701171875,2850.9599609375,1.3901724518164738,2,TAKE_PROFIT,True
40,2019-05-24,2019-06-07,2822.239990234375,2873.340087890625,1.8106219822930925,10,TAKE_PROFIT,True
41,2019-08-06,2019-08-06,2844.739990234375,2881.77001953125,1.3017017169932643,1,TAKE_PROFIT,True
42,2019-10-02,2019-10-11,2940.25,2970.27001953125,1.0210022797806362,8,TAKE_PROFIT,True
43,2020-02-26,2020-03-10,3128.2099609375,2882.22998046875,-7.863282309702502,10,MAX_HOLD,False
44,2020-09-22,2020-09-22,3281.06005859375,3315.570068359375,1.0517945160813724,1,TAKE_PROFIT,True
45,2020-09-24,2020-09-25,3236.919921875,3298.4599609375,1.9011912728088998,2,TAKE_PROFIT,True
46,2020-10-29,2020-10-29,3271.030029296875,3310.110107421875,1.1947330894238384,1,TAKE_PROFIT,True
47,2020-11-02,2020-11-02,3269.9599609375,3310.239990234375,1.231820260127181,1,TAKE_PROFIT,True
48,2021-09-21,2021-09-23,4357.72998046875,4448.97998046875,2.093980132063722,3,TAKE_PROFIT,True
49,2021-09-29,2021-10-07,4352.6298828125,4399.759765625,1.0827909581424544,7,TAKE_PROFIT,True
50,2022-01-19,2022-02-01,4577.10986328125,4546.5400390625,-0.6678848690958694,10,MAX_HOLD,False
51,2023-03-08,2023-03-21,3986.3701171875,4002.8701171875,0.4139103875191896,10,MAX_HOLD,True
52,2023-08-16,2023-08-29,4437.85986328125,4497.6298828125,1.346820795892767,10,TAKE_PROFIT,True
53,2023-09-22,2023-10-05,4330.0,4258.18994140625,-1.6584309144053067,10,MAX_HOLD,False
54,2024-04-22,2024-04-23,4967.22998046875,5070.5498046875,2.0800290025830392,2,TAKE_PROFIT,True
55,2024-08-05,2024-08-13,5346.56005859375,5434.43017578125,1.6434888269189596,7,TAKE_PROFIT,True
56,2025-02-28,2025-02-28,5861.56982421875,5954.5,1.585414463498891,1,TAKE_PROFIT,True
57,2025-03-04,2025-03-17,5849.72021484375,5675.1201171875,-2.984759804634751,10,MAX_HOLD,False
58,2025-11-21,2025-11-21,6538.759765625,6602.990234375,0.9823035415319481,1,TAKE_PROFIT,True
59,2026-03-13,2026-03-26,6672.6201171875,6477.16015625,-2.9292835123946204,10,MAX_HOLD,False
60,2026-07-30,2026-07-30,7316.14990234375,7437.6298828125,1.6604359135647728,1,TAKE_PROFIT,True
