trade_num,entry_date,exit_date,entry_price,exit_price,return_pct,overlay_return_pct,hold_days,exit_reason,is_win
1,2007-11-22,2007-11-26,5561.0498046875,5731.7001953125,3.0686722223051577,5.370176389034026,3,TAKE_PROFIT,True
2,2008-01-21,2008-02-01,5705.2998046875,5317.25,-6.801567279053,-11.90274273834275,10,MAX_HOLD,False
3,2009-06-26,2009-06-26,4241.85009765625,4375.5,3.1507455300600062,5.513804677605011,1,TAKE_PROFIT,True
4,2009-07-01,2009-07-01,4291.10009765625,4340.89990234375,1.1605370080903121,2.0309397641580462,1,TAKE_PROFIT,True
5,2009-07-07,2009-07-15,4165.7001953125,4233.5,1.6275728331047956,2.848252457933392,7,TAKE_PROFIT,True
6,2009-10-30,2009-11-09,4750.5498046875,4898.39990234375,3.1122733943419023,5.446478440098329,6,TAKE_PROFIT,True
7,2010-01-25,2010-02-08,5036.0,4760.39990234375,-5.472599238607034,-9.57704866756231,10,MAX_HOLD,False
8,2010-04-29,2010-04-30,5215.4501953125,5278.0,1.1993174576514498,2.098805550890037,2,TAKE_PROFIT,True
9,2010-05-05,2010-05-18,5148.5,5066.2001953125,-1.5985200483150441,-2.797410084551327,10,MAX_HOLD,False
10,2010-11-26,2010-11-30,5799.75,5862.7001953125,1.085394979309462,1.8994412137915584,3,TAKE_PROFIT,True
11,2011-01-11,2011-01-12,5762.85009765625,5863.25,1.7421918086084176,3.048835665064731,2,TAKE_PROFIT,True
12,2011-01-14,2011-01-28,5751.89990234375,5512.14990234375,-4.16818797389551,-7.294328954317142,10,MAX_HOLD,False
13,2012-07-24,2012-07-30,5117.9501953125,5199.7998046875,1.5992654529926043,2.7987145427370574,5,TAKE_PROFIT,True
14,2012-09-06,2012-09-07,5225.7001953125,5342.10009765625,2.2274508294249484,3.8980389514936595,2,TAKE_PROFIT,True
15,2013-02-22,2013-03-07,5852.25,5863.2998046875,0.18881292985604148,0.3304226272480726,10,MAX_HOLD,True
16,2013-04-04,2013-04-17,5672.89990234375,5688.7001953125,0.27852232968577084,0.487414076950099,10,MAX_HOLD,True
17,2013-06-12,2013-06-17,5788.7998046875,5850.0498046875,1.0580777029187027,1.8516359801077298,4,TAKE_PROFIT,True
18,2013-11-13,2013-11-18,6018.0498046875,6189.0,2.840624469065478,4.971092820864587,3,TAKE_PROFIT,True
19,2013-11-22,2013-11-25,5999.0498046875,6115.35009765625,1.9386452314144043,3.3926291549752072,2,TAKE_PROFIT,True
20,2014-02-04,2014-02-07,6001.7998046875,6063.2001953125,1.0230329671617078,1.7903076925329886,4,TAKE_PROFIT,True
21,2014-02-14,2014-02-18,6001.10009765625,6127.10009765625,2.099615036403235,3.674326313705661,2,TAKE_PROFIT,True
22,2014-10-08,2014-10-09,7852.39990234375,7960.5498046875,1.377284698802339,2.4102482229040936,2,TAKE_PROFIT,True
23,2014-10-17,2014-10-20,7748.2001953125,7879.39990234375,1.6932926837722073,2.963262196601363,2,TAKE_PROFIT,True
24,2014-12-17,2014-12-18,8067.60009765625,8159.2998046875,1.1366417016367647,1.9891229778643382,2,TAKE_PROFIT,True
25,2014-12-26,2014-12-31,8174.10009765625,8282.7001953125,1.3285878122215378,2.325028671387691,4,TAKE_PROFIT,True
26,2015-03-27,2015-03-30,8342.150390625,8492.2998046875,1.7998886022390526,3.149805053918342,2,TAKE_PROFIT,True
27,2016-09-30,2016-10-03,8591.25,8738.099609375,1.7092927033318883,2.9912622308308046,2,TAKE_PROFIT,True
28,2016-11-10,2016-11-10,8432.0,8525.75,1.1118358633776193,1.9457127609108338,1,TAKE_PROFIT,True
29,2016-11-15,2016-11-28,8296.2998046875,8126.89990234375,-2.041872959413027,-3.573277678972797,10,MAX_HOLD,False
30,2017-08-14,2017-08-16,9710.7998046875,9897.2998046875,1.9205421154905755,3.360948702108507,2,TAKE_PROFIT,True
31,2018-02-12,2018-02-26,10454.9501953125,10582.599609375,1.2209471272252692,2.136657472644221,10,TAKE_PROFIT,True
32,2018-03-07,2018-03-12,10249.25,10421.400390625,1.679638906505354,2.93936808638437,4,TAKE_PROFIT,True
33,2018-05-24,2018-05-25,10430.349609375,10605.150390625,1.6758861188400198,2.932800707970035,2,TAKE_PROFIT,True
34,2018-09-12,2018-09-14,11287.5,11515.2001953125,2.017277477851609,3.5302355862403156,2,TAKE_PROFIT,True
35,2018-09-25,2018-10-09,10967.400390625,10301.0498046875,-6.075738663713793,-10.632542661499137,10,MAX_HOLD,False
36,2019-05-14,2019-05-17,11148.2001953125,11407.150390625,2.322798216535271,4.064896878936724,4,TAKE_PROFIT,True
37,2019-07-22,2019-08-02,11419.25,10997.349609375,-3.694641860236003,-6.465623255413005,10,MAX_HOLD,False
38,2020-02-04,2020-02-04,11707.900390625,11979.650390625,2.321082268667074,4.06189397016738,1,TAKE_PROFIT,True
39,2020-09-25,2020-09-25,10805.5498046875,11050.25,2.2645788482354545,3.963012984412045,1,TAKE_PROFIT,True
40,2021-02-01,2021-02-01,13634.599609375,14281.2001953125,4.742351110133836,8.299114442734211,1,TAKE_PROFIT,True
41,2021-03-01,2021-03-01,14529.150390625,14761.5498046875,1.5995389118723446,2.7991930957766034,1,TAKE_PROFIT,True
42,2021-03-25,2021-03-30,14549.400390625,14845.099609375,2.032380791036137,3.55666638431324,3,TAKE_PROFIT,True
43,2021-11-29,2021-12-02,17026.44921875,17401.650390625,2.2036372179222052,3.856365131363859,4,TAKE_PROFIT,True
44,2021-12-06,2021-12-08,17196.69921875,17469.75,1.587809252093475,2.7786661911635813,3,TAKE_PROFIT,True
45,2022-01-25,2022-01-31,17149.099609375,17339.849609375,1.1123032948955558,1.9465307660672226,4,TAKE_PROFIT,True
46,2022-02-08,2022-02-09,17213.599609375,17463.80078125,1.453508723060648,2.5436402653561343,2,TAKE_PROFIT,True
47,2022-09-27,2022-10-04,17016.30078125,17274.30078125,1.5161932274039724,2.6533381479569518,6,TAKE_PROFIT,True
48,2022-12-22,2023-01-04,18199.099609375,18042.94921875,-0.8580116268200544,-1.501520346935095,10,MAX_HOLD,False
49,2023-10-27,2023-10-27,18857.25,19047.25,1.0075700327460302,1.7632475573055528,1,TAKE_PROFIT,True
50,2024-10-23,2024-11-05,24472.099609375,24213.30078125,-1.0575260490761407,-1.8506705858832462,10,MAX_HOLD,False
51,2024-11-14,2024-11-22,23559.05078125,23907.25,1.4779849238540699,2.5864736167446223,5,TAKE_PROFIT,True
52,2025-08-11,2025-08-13,24363.30078125,24619.349609375,1.050961158440633,1.839182027271108,3,TAKE_PROFIT,True
53,2026-01-21,2026-02-03,25232.5,25727.55078125,1.961956925592001,3.4334246197860017,9,TAKE_PROFIT,True
