trade_num,entry_date,exit_date,entry_price,exit_price,return_pct,overlay_return_pct,hold_days,exit_reason,is_win,rsi_at_entry,vol_ratio_at_entry
1,2000-04-13,2000-04-27,1467.1700439453125,1464.9200439453125,-0.1533564571663204,-0.3067129143326408,10,MAX_HOLD,False,30.716479511090057,1.0758236560438343
2,2000-09-18,2000-09-29,1465.81005859375,1436.510009765625,-1.998898060246257,-3.997796120492514,10,MAX_HOLD,False,32.87262063610444,1.4125744068334567
3,2004-03-11,2004-03-24,1123.8900146484375,1091.3299560546875,-2.897085850872616,-5.794171701745232,10,MAX_HOLD,False,34.00964766634401,1.140883624194983
4,2004-05-10,2004-05-21,1098.699951171875,1093.56005859375,-0.46781585569770634,-0.9356317113954127,10,MAX_HOLD,False,33.9501605011462,1.0731530034785317
5,2005-01-20,2005-02-02,1184.6300048828125,1193.18994140625,0.7225831262212878,1.4451662524425757,10,MAX_HOLD,True,34.32340297294928,1.1193349864069548
6,2005-03-23,2005-04-06,1171.7099609375,1184.0699462890625,1.054867310479568,2.109734620959136,10,TAKE_PROFIT,True,28.938463781264417,1.277480647962844
7,2006-05-18,2006-06-01,1270.3199462890625,1285.7099609375,1.2115069666815748,2.4230139333631495,10,TAKE_PROFIT,True,30.296067206396543,1.1684291291503912
8,2007-02-28,2007-03-13,1399.0400390625,1377.949951171875,-1.5074684999549781,-3.0149369999099562,10,MAX_HOLD,False,27.366914655708655,1.5168010256203608
9,2007-03-14,2007-03-15,1377.949951171875,1392.280029296875,1.03995635783527,2.07991271567054,2,TAKE_PROFIT,True,26.155112917260837,1.171921716327344
10,2007-07-30,2007-07-30,1458.949951171875,1473.9100341796875,1.0254006997153065,2.050801399430613,1,TAKE_PROFIT,True,31.822224600966834,1.475615709841581
11,2007-08-01,2007-08-02,1455.27001953125,1472.199951171875,1.1633532893145393,2.3267065786290786,2,TAKE_PROFIT,True,34.41961562696734,1.3368663836838315
12,2007-10-22,2007-10-23,1500.6300048828125,1519.5899658203125,1.2634667356914875,2.526933471382975,2,TAKE_PROFIT,True,31.83562041410113,1.3313787532688768
13,2010-01-29,2010-02-02,1084.530029296875,1103.3199462890625,1.7325400389668788,3.4650800779337576,3,TAKE_PROFIT,True,29.776399937621576,1.2131403813279975
14,2010-02-05,2010-02-11,1063.1099853515625,1078.469970703125,1.444816205586008,2.889632411172016,5,TAKE_PROFIT,True,27.92860249772363,1.190210226416976
15,2010-05-07,2010-05-10,1128.1500244140625,1159.72998046875,2.799269190380027,5.598538380760054,2,TAKE_PROFIT,True,33.5120572563486,1.7141347452192899
16,2011-06-13,2011-06-14,1270.97998046875,1287.8699951171875,1.3288969856321664,2.657793971264333,2,TAKE_PROFIT,True,27.59508521211974,1.021676678677538
17,2011-06-16,2011-06-20,1265.4200439453125,1278.3599853515625,1.0225807207783655,2.045161441556731,3,TAKE_PROFIT,True,32.48711685218197,1.07586535732051
18,2012-04-11,2012-04-12,1358.5899658203125,1387.5699462890625,2.1330924854322753,4.2661849708645505,2,TAKE_PROFIT,True,31.363656190917652,1.188103649617249
19,2012-05-18,2012-05-23,1304.8599853515625,1318.8599853515625,1.0729120485848842,2.1458240971697684,4,TAKE_PROFIT,True,9.664161271863847,1.189812257417163
20,2012-10-24,2012-11-01,1413.1099853515625,1427.5899658203125,1.024688850751243,2.049377701502486,5,TAKE_PROFIT,True,34.86737194470861,1.0518461554022824
21,2012-11-08,2012-11-21,1394.530029296875,1391.030029296875,-0.2509806118527802,-0.5019612237055604,10,MAX_HOLD,False,28.698425872777122,1.235477820335901
22,2013-06-06,2013-06-07,1608.9000244140625,1643.3800048828125,2.143077875911348,4.286155751822696,2,TAKE_PROFIT,True,32.43666329078354,1.0259062981950506
23,2013-08-28,2013-09-04,1630.47998046875,1653.0799560546875,1.386093411551137,2.772186823102274,5,TAKE_PROFIT,True,27.933930563261114,1.062362860481609
24,2013-10-09,2013-10-10,1655.449951171875,1692.56005859375,2.2416931055877054,4.483386211175411,2,TAKE_PROFIT,True,23.548473311612838,1.097380307858523
25,2014-01-30,2014-01-30,1774.199951171875,1794.18994140625,1.1267044743841437,2.2534089487682873,1,TAKE_PROFIT,True,30.89185495486555,1.123309040906067
26,2014-02-04,2014-02-06,1741.8900146484375,1773.4300537109375,1.8106791357240581,3.6213582714481163,3,TAKE_PROFIT,True,31.579712764698428,1.264609379222799
27,2014-08-06,2014-08-13,1920.2099609375,1946.719970703125,1.3805787025853222,2.7611574051706445,6,TAKE_PROFIT,True,30.7431565257868,1.1022168516762114
28,2014-10-02,2014-10-03,1946.1600341796875,1967.9000244140625,1.1170710451639865,2.234142090327973,2,TAKE_PROFIT,True,34.961606489988284,1.2835712084784667
29,2014-10-08,2014-10-08,1935.0999755859375,1968.8900146484375,1.7461650296527242,3.4923300593054485,1,TAKE_PROFIT,True,32.89590070802596,1.0795624280882303
30,2014-10-10,2014-10-23,1928.2099609375,1950.8199462890625,1.1725893865089931,2.3451787730179863,10,TAKE_PROFIT,True,34.07355437908819,1.2193165346869257
31,2014-12-15,2014-12-18,2002.3299560546875,2061.22998046875,2.941574351218157,5.883148702436314,4,TAKE_PROFIT,True,29.83190334589743,1.1836700704553655
32,2015-01-16,2015-01-16,1992.6700439453125,2019.4200439453125,1.3424199395820402,2.6848398791640804,1,TAKE_PROFIT,True,30.232699041956522,1.196847916901917
33,2015-03-11,2015-03-12,2044.1600341796875,2065.949951171875,1.0659594468068079,2.1319188936136158,2,TAKE_PROFIT,True,30.171447900379803,1.071643465104188
34,2016-06-27,2016-06-29,2037.4100341796875,2070.77001953125,1.6373721927306573,3.2747443854613145,3,TAKE_PROFIT,True,31.585743460744624,2.005538993306511
35,2016-09-12,2016-09-12,2127.81005859375,2159.0400390625,1.467705274849096,2.935410549698192,1,TAKE_PROFIT,True,26.345869367723083,1.3033801393035316
36,2016-09-14,2016-09-21,2127.02001953125,2163.1201171875,1.6972147570198048,3.3944295140396097,6,TAKE_PROFIT,True,33.01369331471756,1.2355470938464137
37,2017-03-22,2017-03-30,2344.02001953125,2368.06005859375,1.0255901767983744,2.0511803535967488,7,TAKE_PROFIT,True,27.4057128744264,1.145054183408731
38,2017-05-18,2017-05-19,2357.030029296875,2381.72998046875,1.0479268768265548,2.0958537536531097,2,TAKE_PROFIT,True,33.544209261013876,1.117461196506344
39,2017-08-11,2017-08-14,2438.2099609375,2465.840087890625,1.1332136032493834,2.2664272064987667,2,TAKE_PROFIT,True,29.120611516301025,1.0933899261804971
40,2018-02-06,2018-02-06,2648.93994140625,2695.139892578125,1.7440920592313836,3.488184118462767,1,TAKE_PROFIT,True,30.994716527134855,1.378203052976519
41,2018-02-09,2018-02-09,2581.0,2619.550048828125,1.4936090208494734,2.987218041698947,1,TAKE_PROFIT,True,24.678648129521463,1.290345991957231
42,2018-03-26,2018-03-26,2588.260009765625,2658.550048828125,2.715725576151251,5.431451152302502,1,TAKE_PROFIT,True,26.63923045511531,1.0421550575019827
43,2018-10-11,2018-10-24,2785.679931640625,2656.10009765625,-4.651641149170327,-9.303282298340655,10,MAX_HOLD,False,11.109409421547497,1.2951007520340723
44,2019-05-14,2019-05-15,2811.8701171875,2850.9599609375,1.3901724518164738,2.7803449036329475,2,TAKE_PROFIT,True,24.487925900324655,1.1125379769925958
45,2019-05-24,2019-06-07,2822.239990234375,2873.340087890625,1.8106219822930925,3.621243964586185,10,TAKE_PROFIT,True,30.833758030001775,1.1203451954524442
46,2019-08-06,2019-08-06,2844.739990234375,2881.77001953125,1.3017017169932643,2.6034034339865286,1,TAKE_PROFIT,True,24.385822350406983,1.3026283681854558
47,2019-08-15,2019-08-16,2840.60009765625,2888.679931640625,1.692594252321733,3.385188504643466,2,TAKE_PROFIT,True,33.06262983123035,1.1424836363055235
48,2019-10-02,2019-10-11,2940.25,2970.27001953125,1.0210022797806362,2.0420045595612724,8,TAKE_PROFIT,True,31.278594873156422,0.958325651746221
49,2020-02-26,2020-03-10,3128.2099609375,2882.22998046875,-7.863282309702502,-15.726564619405003,10,MAX_HOLD,False,29.513755805022512,1.4210469454368968
50,2020-09-21,2020-09-30,3319.469970703125,3363.0,1.311354815107868,2.622709630215736,8,TAKE_PROFIT,True,34.49148805002426,1.661235169806856
51,2020-10-29,2020-10-29,3271.030029296875,3310.110107421875,1.1947330894238384,2.3894661788476768,1,TAKE_PROFIT,True,30.18394487667703,1.2820567502989093
52,2020-11-02,2020-11-02,3269.9599609375,3310.239990234375,1.231820260127181,2.463640520254362,1,TAKE_PROFIT,True,19.65459682434124,1.1830700329452153
53,2021-03-05,2021-03-05,3768.469970703125,3841.93994140625,1.949596819778221,3.899193639556442,1,TAKE_PROFIT,True,34.06179248729302,1.341336538194462
54,2021-09-20,2021-10-01,4432.990234375,4357.0400390625,-1.7132948934458492,-3.4265897868916984,10,MAX_HOLD,False,34.045001119976874,1.8801581136955137
55,2021-12-02,2021-12-02,4513.0400390625,4577.10009765625,1.419443613158311,2.838887226316622,1,TAKE_PROFIT,True,34.537193517240866,1.2526097349034495
56,2022-01-19,2022-02-01,4577.10986328125,4546.5400390625,-0.6678848690958694,-1.3357697381917388,10,MAX_HOLD,False,24.051305899270687,1.2323954399266588
57,2023-03-08,2023-03-21,3986.3701171875,4002.8701171875,0.4139103875191896,0.8278207750383793,10,MAX_HOLD,True,32.734643971481574,0.961341451817983
58,2023-08-16,2023-08-29,4437.85986328125,4497.6298828125,1.346820795892767,2.693641591785534,10,TAKE_PROFIT,True,32.41085385866249,0.959042881585701
59,2023-09-22,2023-10-05,4330.0,4258.18994140625,-1.6584309144053067,-3.3168618288106133,10,MAX_HOLD,False,25.279646920996598,1.0142244091348156
60,2024-04-16,2024-04-29,5061.81982421875,5116.169921875,1.0737264372036037,2.1474528744072074,10,TAKE_PROFIT,True,33.5541884054044,1.0520846081412905
61,2024-08-05,2024-08-13,5346.56005859375,5434.43017578125,1.6434888269189596,3.286977653837919,7,TAKE_PROFIT,True,31.653762056982785,1.3260905345560967
62,2025-02-28,2025-02-28,5861.56982421875,5954.5,1.585414463498891,3.170828926997782,1,TAKE_PROFIT,True,27.52485506079387,1.0608189986287972
63,2025-03-04,2025-03-17,5849.72021484375,5675.1201171875,-2.984759804634751,-5.969519609269502,10,MAX_HOLD,False,31.744062650924093,1.1464926527238353
64,2025-11-21,2025-11-24,6538.759765625,6705.1201171875,2.5442187436993002,5.0884374873986005,2,TAKE_PROFIT,True,28.008022342293955,1.0025265242045964
