trade_num,entry_date,exit_date,entry_price,exit_price,return_pct,hold_days,exit_reason,is_win
35,2018-02-06,2018-02-06,2648.93994140625,2695.139892578125,1.7440920592313836,1,TAKE_PROFIT,True
36,2018-02-09,2018-02-09,2581.0,2619.550048828125,1.4936090208494734,1,TAKE_PROFIT,True
37,2018-03-26,2018-03-26,2588.260009765625,2658.550048828125,2.715725576151251,1,TAKE_PROFIT,True
38,2018-06-28,2018-07-02,2699.6298828125,2726.7099609375,1.0031033623315588,3,TAKE_PROFIT,True
39,2018-10-11,2018-10-16,2785.679931640625,2809.919921875,0.8701642266596865,4,TAKE_PROFIT,True
40,2018-10-19,2018-11-01,2768.780029296875,2740.3701171875,-1.0260805050876343,10,MAX_HOLD,False
41,2019-05-14,2019-05-14,2811.8701171875,2834.409912109375,0.8015944543135589,1,TAKE_PROFIT,True
42,2019-05-24,2019-06-07,2822.239990234375,2873.340087890625,1.8106219822930925,10,TAKE_PROFIT,True
43,2019-08-06,2019-08-06,2844.739990234375,2881.77001953125,1.3017017169932643,1,TAKE_PROFIT,True
44,2019-10-02,2019-10-11,2940.25,2970.27001953125,1.0210022797806362,8,TAKE_PROFIT,True
45,2020-02-26,2020-03-10,3128.2099609375,2882.22998046875,-7.863282309702502,10,MAX_HOLD,False
46,2020-09-22,2020-09-22,3281.06005859375,3315.570068359375,1.0517945160813724,1,TAKE_PROFIT,True
47,2020-09-24,2020-09-25,3236.919921875,3298.4599609375,1.9011912728088998,2,TAKE_PROFIT,True
48,2020-10-29,2020-10-29,3271.030029296875,3310.110107421875,1.1947330894238384,1,TAKE_PROFIT,True
49,2020-11-02,2020-11-02,3269.9599609375,3310.239990234375,1.231820260127181,1,TAKE_PROFIT,True
50,2021-09-21,2021-09-22,4357.72998046875,4395.64013671875,0.869951934147184,2,TAKE_PROFIT,True
51,2021-09-29,2021-10-07,4352.6298828125,4399.759765625,1.0827909581424544,7,TAKE_PROFIT,True
52,2021-11-29,2021-11-29,4594.6201171875,4655.27001953125,1.3200199537034996,1,TAKE_PROFIT,True
53,2022-01-19,2022-02-01,4577.10986328125,4546.5400390625,-0.6678848690958694,10,MAX_HOLD,False
54,2023-02-27,2023-03-03,3970.0400390625,4045.639892578125,1.904259220858573,5,TAKE_PROFIT,True
55,2023-03-08,2023-03-21,3986.3701171875,4002.8701171875,0.4139103875191896,10,MAX_HOLD,True
56,2023-08-16,2023-08-29,4437.85986328125,4497.6298828125,1.346820795892767,10,TAKE_PROFIT,True
57,2023-09-21,2023-10-04,4402.2001953125,4263.75,-3.1450226970577755,10,MAX_HOLD,False
58,2024-04-22,2024-04-22,4967.22998046875,5010.60009765625,0.8731248071466746,1,TAKE_PROFIT,True
59,2024-08-05,2024-08-13,5346.56005859375,5434.43017578125,1.6434888269189596,7,TAKE_PROFIT,True
60,2025-02-28,2025-02-28,5861.56982421875,5954.5,1.585414463498891,1,TAKE_PROFIT,True
61,2025-03-04,2025-03-17,5849.72021484375,5675.1201171875,-2.984759804634751,10,MAX_HOLD,False
62,2025-11-18,2025-11-25,6672.41015625,6765.8798828125,1.4008390427699968,6,TAKE_PROFIT,True
63,2026-03-13,2026-03-26,6672.6201171875,6477.16015625,-2.9292835123946204,10,MAX_HOLD,False
64,2026-07-30,2026-07-30,7316.14990234375,7437.6298828125,1.6604359135647728,1,TAKE_PROFIT,True
