trade_num,entry_date,exit_date,entry_price,exit_price,return_pct,overlay_return_pct,hold_days,exit_reason,is_win,rsi_at_entry,vol_ratio_at_entry
20,2014-10-17,2014-10-20,7748.2001953125,7879.39990234375,1.6932926837722073,3.3865853675444146,2,TAKE_PROFIT,True,25.371165847590035,1.4751606439577043
21,2014-12-17,2014-12-18,8067.60009765625,8159.2998046875,1.1366417016367647,2.2732834032735294,2,TAKE_PROFIT,True,22.513332442873548,1.263205070747159
22,2014-12-26,2014-12-31,8174.10009765625,8282.7001953125,1.3285878122215378,2.6571756244430755,4,TAKE_PROFIT,True,30.65140406083475,1.3780468871293192
23,2015-03-27,2015-03-30,8342.150390625,8492.2998046875,1.7998886022390526,3.599777204478105,2,TAKE_PROFIT,True,17.909436265212264,1.5140949755398714
24,2016-09-30,2016-10-03,8591.25,8738.099609375,1.7092927033318883,3.4185854066637766,2,TAKE_PROFIT,True,27.630226285456374,1.8275380430787238
25,2016-11-10,2016-11-10,8432.0,8525.75,1.1118358633776193,2.2236717267552386,1,TAKE_PROFIT,True,31.219068600757936,1.6670202609525742
26,2016-11-15,2016-11-28,8296.2998046875,8126.89990234375,-2.041872959413027,-4.083745918826054,10,MAX_HOLD,False,27.486816993505414,1.3411723323534517
27,2017-08-14,2017-08-16,9710.7998046875,9897.2998046875,1.9205421154905755,3.841084230981151,2,TAKE_PROFIT,True,31.027343936238353,1.4190698367002461
28,2018-03-07,2018-03-12,10249.25,10421.400390625,1.679638906505354,3.359277813010708,4,TAKE_PROFIT,True,32.98378645476538,1.0145884066546758
29,2018-05-24,2018-05-25,10430.349609375,10605.150390625,1.6758861188400198,3.3517722376800396,2,TAKE_PROFIT,True,32.59803787843995,1.463721445104149
30,2018-10-04,2018-10-17,10858.25,10453.0498046875,-3.7317265241866737,-7.463453048373347,10,MAX_HOLD,False,29.157826897969287,1.3055218036991991
31,2019-05-14,2019-05-17,11148.2001953125,11407.150390625,2.322798216535271,4.645596433070542,4,TAKE_PROFIT,True,23.264394500497033,1.0186147864355575
32,2019-07-22,2019-08-02,11419.25,10997.349609375,-3.694641860236003,-7.389283720472006,10,MAX_HOLD,False,28.677234854109443,1.1561292998418717
33,2020-02-04,2020-02-04,11707.900390625,11979.650390625,2.321082268667074,4.642164537334148,1,TAKE_PROFIT,True,20.493292458744378,1.326586189481187
34,2020-09-25,2020-09-25,10805.5498046875,11050.25,2.2645788482354545,4.529157696470909,1,TAKE_PROFIT,True,29.243298701355698,1.0798947786988022
35,2021-02-01,2021-02-01,13634.599609375,14281.2001953125,4.742351110133836,9.484702220267671,1,TAKE_PROFIT,True,31.59620259654004,1.1481794830753265
36,2021-03-01,2021-03-01,14529.150390625,14761.5498046875,1.5995389118723446,3.1990778237446893,1,TAKE_PROFIT,True,34.28349870548982,1.5419976386589236
37,2021-03-26,2021-03-26,14324.900390625,14507.2998046875,1.2733031929623273,2.5466063859246546,1,TAKE_PROFIT,True,28.505627488042606,1.183434260694885
38,2021-11-29,2021-12-02,17026.44921875,17401.650390625,2.2036372179222052,4.4072744358444105,4,TAKE_PROFIT,True,28.61322333882076,1.246479735520995
39,2021-12-06,2021-12-08,17196.69921875,17469.75,1.587809252093475,3.17561850418695,3,TAKE_PROFIT,True,29.66076874627315,1.006468928497691
40,2022-01-25,2022-01-31,17149.099609375,17339.849609375,1.1123032948955558,2.2246065897911116,4,TAKE_PROFIT,True,33.79595821400275,1.3319895514099371
41,2022-09-27,2022-10-04,17016.30078125,17274.30078125,1.5161932274039724,3.032386454807945,6,TAKE_PROFIT,True,34.7887429976017,1.6221562809099848
42,2022-12-26,2022-12-26,17806.80078125,18014.599609375,1.1669632893506865,2.333926578701373,1,TAKE_PROFIT,True,22.437971952341414,0.9997743173098579
43,2023-10-27,2023-10-27,18857.25,19047.25,1.0075700327460302,2.0151400654920604,1,TAKE_PROFIT,True,29.280770387956707,1.347991922818033
44,2024-11-05,2024-11-06,23995.349609375,24484.05078125,2.036649516804978,4.073299033609956,2,TAKE_PROFIT,True,23.976966429632114,1.0912982818263437
45,2024-11-14,2024-11-22,23559.05078125,23907.25,1.4779849238540699,2.9559698477081398,5,TAKE_PROFIT,True,33.76355398822018,1.0993413335739382
46,2025-08-11,2025-08-13,24363.30078125,24619.349609375,1.050961158440633,2.101922316881266,3,TAKE_PROFIT,True,29.245678365402824,1.0362831711723623
47,2026-01-21,2026-02-03,25232.5,25727.55078125,1.961956925592001,3.923913851184002,9,TAKE_PROFIT,True,29.900707043859484,1.262126951861772
