Date,Close,High,Low,Open,Volume
2010-06-16,5233.35009765625,5255.64990234375,5214.89990234375,5225.0498046875,0
2010-06-17,5274.85009765625,5285.5498046875,5206.5498046875,5233.64990234375,0
2010-06-18,5262.60009765625,5302.2998046875,5245.5,5274.9501953125,0
2010-06-21,5353.2998046875,5366.75,5266.5,5266.5,0
2010-06-22,5316.5498046875,5354.35009765625,5311.0498046875,5353.9501953125,0
2010-06-23,5323.14990234375,5333.2998046875,5288.14990234375,5316.14990234375,0
2010-06-24,5320.60009765625,5348.2998046875,5284.5498046875,5323.25,0
2010-06-25,5269.0498046875,5320.5,5259.89990234375,5320.5,0
2010-06-28,5333.5,5339.4501953125,5270.75,5271.10009765625,0
2010-06-29,5256.14990234375,5334.14990234375,5235.7998046875,5333.5498046875,0
2010-06-30,5312.5,5320.35009765625,5210.0,5254.25,0
2010-07-01,5251.39990234375,5312.5498046875,5232.10009765625,5312.0498046875,0
2010-07-02,5237.10009765625,5277.25,5225.60009765625,5251.25,0
2010-07-05,5235.89990234375,5252.75,5225.85009765625,5237.0,0
2010-07-06,5289.0498046875,5297.4501953125,5231.5,5236.10009765625,0
2010-07-07,5241.10009765625,5296.75,5233.4501953125,5293.10009765625,0
2010-07-08,5296.85009765625,5320.5,5242.0,5242.0,0
2010-07-09,5352.4501953125,5359.0498046875,5297.2001953125,5297.2001953125,0
2010-07-12,5383.0,5402.7001953125,5351.60009765625,5352.25,0
2010-07-13,5400.64990234375,5406.2001953125,5357.85009765625,5370.2001953125,0
2010-07-14,5386.14990234375,5453.4501953125,5371.7001953125,5402.0,0
2010-07-15,5378.75,5399.2001953125,5360.60009765625,5387.10009765625,0
2010-07-16,5393.89990234375,5401.35009765625,5374.39990234375,5376.64990234375,0
2010-07-19,5386.4501953125,5409.10009765625,5361.5,5392.7001953125,0
2010-07-20,5368.0,5416.4501953125,5353.60009765625,5387.0,0
2010-07-21,5399.35009765625,5409.10009765625,5368.85009765625,5368.85009765625,0
2010-07-22,5441.9501953125,5447.14990234375,5372.2001953125,5399.14990234375,0
2010-07-23,5449.10009765625,5477.5,5435.14990234375,5441.89990234375,0
2010-07-26,5418.60009765625,5466.25,5409.2001953125,5446.5498046875,0
2010-07-27,5430.60009765625,5450.9501953125,5407.2001953125,5420.2001953125,0
2010-07-28,5397.5498046875,5447.85009765625,5386.25,5436.10009765625,0
2010-07-29,5408.89990234375,5415.85009765625,5381.5498046875,5397.85009765625,0
2010-07-30,5367.60009765625,5413.25,5349.2001953125,5408.39990234375,0
2010-08-02,5431.64990234375,5438.85009765625,5351.2998046875,5369.5498046875,0
2010-08-03,5439.5498046875,5459.2001953125,5426.39990234375,5432.5,0
2010-08-04,5467.85009765625,5481.89990234375,5428.39990234375,5441.35009765625,0
2010-08-05,5447.10009765625,5487.14990234375,5443.10009765625,5470.14990234375,0
2010-08-06,5439.25,5471.89990234375,5431.35009765625,5448.25,0
2010-08-09,5486.14990234375,5492.2998046875,5433.25,5439.7998046875,0
2010-08-10,5460.7001953125,5491.4501953125,5445.35009765625,5486.7998046875,0
2010-08-11,5420.60009765625,5474.60009765625,5412.0,5460.7001953125,0
2010-08-12,5416.4501953125,5431.10009765625,5372.4501953125,5418.7001953125,0
2010-08-13,5452.10009765625,5476.5,5415.5,5420.64990234375,0
2010-08-16,5418.2998046875,5465.25,5397.39990234375,5452.10009765625,0
2010-08-17,5414.14990234375,5443.5498046875,5408.7998046875,5422.14990234375,0
2010-08-18,5479.14990234375,5487.9501953125,5416.25,5416.25,0
2010-08-19,5540.2001953125,5544.7001953125,5478.10009765625,5478.25,0
2010-08-20,5530.64990234375,5546.60009765625,5513.35009765625,5540.7998046875,0
2010-08-23,5543.5,5549.7998046875,5519.39990234375,5531.14990234375,0
2010-08-24,5505.10009765625,5547.25,5488.4501953125,5541.10009765625,0
